Sno,Initials,First_Name,Middle Name,Surname,Language_Main
1,,Hiranya,,Durrani,Kashmiri
2,,Bhupendra,,Tikkoo,Kashmiri
3,,Mrigavati,,Durrani,Kashmiri
4,,Smriti,,Raina,Kashmiri
5,,Heeposh,,Talwar,Kashmiri
6,,Chandrakanta,,Padar,Kashmiri
7,,Chandan,,Machama,Kashmiri
8,,Tanka,,Durrani,Kashmiri
9,,Bapikaa,,Talwar,Kashmiri
10,,Kavita,,Akhoon,Kashmiri
11,,Chakradhwaj,,Kanna,Kashmiri
12,,Zoongaash,,Durrani,Kashmiri
13,,Shrilekha,,Tikkoo,Kashmiri
14,,Dev,,Parimoo,Kashmiri
15,,Rupnath,,Kanna,Kashmiri
16,,Aarti,,Raina,Kashmiri
17,,Satyendra,,Machama,Kashmiri
18,,Suyyah,,Durrani,Kashmiri
19,,Pranab,,Mirza,Kashmiri
20,,Uddaa,,Padar,Kashmiri
21,,Anjana,,Parimoo,Kashmiri
22,,Iravati,,Dar,Kashmiri
23,,Lambodar,,Dar,Kashmiri
24,,Lakshmidhar,,Dar,Kashmiri
25,,Virendra,,Parimoo,Kashmiri
26,,Sonth,,Machama,Kashmiri
27,,Kalicharan,,Munshi,Kashmiri
28,,Ratna,,Talwar,Kashmiri
29,,Heeposh,,Mirza,Kashmiri
30,,Manikya,,Munshi,Kashmiri
31,,Hem,,Talwar,Kashmiri
32,,Kshmaa,,Talwar,Kashmiri
33,,Sharda,,Mirza,Kashmiri
34,,Meghavali,,Padar,Kashmiri
35,,Bijoy,,Parimoo,Kashmiri
36,,Baneswar,,Talwar,Kashmiri
37,,Nirupama,,Draboo,Kashmiri
38,,Homen,,Chakoo,Kashmiri
39,,Susala,,Bhat,Kashmiri
40,,Kushal,,Parimoo,Kashmiri
41,,Bappatadevi,,Munshi,Kashmiri
42,,Harinarayan,,Mirza,Kashmiri
43,,Sushma,,Talwar,Kashmiri
44,,Dev,,Tikkoo,Kashmiri
45,,Govinda,,Padar,Kashmiri
46,,Kavya,,Durrani,Kashmiri
47,,Aarati,,Akhoon,Kashmiri
48,,Anangalekha,,Chakoo,Kashmiri
49,,Chither,,Machama,Kashmiri
50,,Debendra,,Raina,Kashmiri
51,,Aarati,,Durrani,Kashmiri
52,,Vimala,,Kanna,Kashmiri
